   1	     1.00000000     0.00000000     0.98505292     0.09884740     1.99050502     0.19471654 
   2	     2.00000000     0.00000000     0.96045548     0.19474447     1.96210017     0.38763574 
   3	     3.00000000     0.00000000     0.92664365     0.28676079     1.91503990     0.57692505 
   4	     4.00000000     0.00000000     0.88414195     0.37402310     1.84975597     0.76078384 
   5	     5.00000000     0.00000000     0.83355644     0.45572364     1.76685365     0.93746055 
   6	     6.00000000     0.00000000     0.77556689     0.53112758     1.66710639     1.10526940 
   7	     7.00000000     0.00000000     0.71091836     0.59957965     1.55144875     1.26260649 
   8	     8.00000000     0.00000000     0.64041217     0.66050977     1.42096791     1.40796522 
   9	     9.00000000     0.00000000     0.56489640     0.71343764     1.27689356     1.53995080 
  10	    10.00000000     0.00000000     0.48525601     0.75797639     1.12058658     1.65729374 
  11	    11.00000000     0.00000000     0.40240280     0.79383506     0.95352631     1.75886216 
  12	    12.00000000     0.00000000     0.31726509     0.82082009     0.77729671     1.84367287 
  13	    13.00000000     0.00000000     0.23077757     0.83883568     0.59357151     1.91090103 
  14	    14.00000000     0.00000000     0.14387104     0.84788308     0.40409840     1.95988832 
  15	    15.00000000     0.00000000     0.05746253     0.84805889     0.21068257     1.99014960 
  16	    16.00000000     0.00000000    -0.02755440     0.83955230     0.01516952     2.00137789 
  17	    17.00000000     0.00000000    -0.11031886     0.82264137    -0.18057238     1.99344762 
  18	    18.00000000     0.00000000    -0.19001140     0.79768843    -0.37466979     1.96641630 
  19	    19.00000000     0.00000000    -0.26586212     0.76513460    -0.56526224     1.92052426 
  20	    20.00000000     0.00000000    -0.33715816     0.72549352    -0.75051998     1.85619281 
  21	    21.00000000     0.00000000    -0.40325039     0.67934444    -0.92866154     1.77402053 
  22	    22.00000000     0.00000000    -0.46355932     0.62732468    -1.09797095     1.67477796 
  23	    23.00000000     0.00000000    -0.51758016     0.57012153    -1.25681426     1.55940056 
  24	    24.00000000     0.00000000    -0.56488691     0.50846376    -1.40365542     1.42898008 
  25	    25.00000000     0.00000000    -0.60513557     0.44311287    -1.53707123     1.28475442 
  26	    26.00000000     0.00000000    -0.63806635     0.37485401    -1.65576525     1.12809608 
  27	    27.00000000     0.00000000    -0.66350490     0.30448687    -1.75858049     0.96049923 
  28	    28.00000000     0.00000000    -0.68136264     0.23281654    -1.84451089     0.78356564 
  29	    29.00000000     0.00000000    -0.69163597     0.16064448    -1.91271130     0.59898948 
  30	    30.00000000     0.00000000    -0.69440474     0.08875963    -1.96250594     0.40854123 
  31	    31.00000000     0.00000000    -0.68982961     0.01792988    -1.99339531     0.21405077 
  32	    32.00000000     0.00000000    -0.67814871    -0.05110611    -2.00506136     0.01738990 
  33	    33.00000000     0.00000000    -0.65967336    -0.11764662    -1.99737098    -0.17954562 
  34	    34.00000000     0.00000000    -0.63478311    -0.18103402    -1.97037768    -0.37485432 
  35	    35.00000000     0.00000000    -0.60392006    -0.24066130    -1.92432144    -0.56664734 
  36	    36.00000000     0.00000000    -0.56758258    -0.29597790    -1.85962686    -0.75306675 
  37	    37.00000000     0.00000000    -0.52631846    -0.34649478    -1.77689944    -0.93230352 
  38	    38.00000000     0.00000000    -0.48071769    -0.39178878    -1.67692010    -1.10261515 
  39	    39.00000000     0.00000000    -0.43140479    -0.43150600    -1.56063805    -1.26234267 
  40	    40.00000000     0.00000000    -0.37903095    -0.46536447    -1.42916193    -1.40992691 
  41	    41.00000000     0.00000000    -0.32426596    -0.49315584    -1.28374944    -1.54392379 
  42	    42.00000000     0.00000000    -0.26779011    -0.51474623    -1.12579550    -1.66301858 
  43	    43.00000000     0.00000000    -0.21028604    -0.53007622    -0.95681897    -1.76603896 
  44	    44.00000000     0.00000000    -0.15243076    -0.53915988    -0.77844825    -1.85196668 
  45	    45.00000000     0.00000000    -0.09488792    -0.54208310    -0.59240564    -1.91994781 
  46	    46.00000000     0.00000000    -0.03830025    -0.53900096    -0.40049090    -1.96930140 
  47	    47.00000000     0.00000000     0.01671750    -0.53013446    -0.20456385    -1.99952648 
